x,y,z
94.5,20.5,31.42729411764706
95.5,21.5,31.42729411764706
94.5,22.5,31.06352941176471
94.5,23.5,30.699764705882355
94.5,24.5,30.336
93.5,25.5,29.97223529411765
92.5,26.5,29.97223529411765
93.5,27.5,29.608470588235296
93.5,28.5,29.608470588235296
94.5,29.5,29.608470588235296
95.5,30.5,29.244705882352942
96.5,31.5,29.244705882352942
96.5,32.5,29.244705882352942
96.5,33.5,29.244705882352942
97.5,34.5,29.608470588235296
98.5,35.5,29.97223529411765
99.5,36.5,30.336
100.5,37.5,30.699764705882355
101.5,38.5,31.06352941176471
102.5,39.5,31.42729411764706
102.5,40.5,31.42729411764706
102.5,41.5,31.42729411764706
102.5,42.5,31.42729411764706
103.5,43.5,31.42729411764706
104.5,44.5,31.79105882352941
105.5,45.5,31.79105882352941
106.5,46.5,31.79105882352941
107.5,47.5,31.79105882352941
108.5,48.5,31.79105882352941
108.5,49.5,31.79105882352941
108.5,50.5,31.79105882352941
108.5,51.5,31.79105882352941
108.5,52.5,31.79105882352941
109.5,53.5,31.79105882352941
110.5,54.5,31.79105882352941
111.5,55.5,31.79105882352941
112.5,55.5,31.79105882352941
113.5,56.5,31.79105882352941
114.5,57.5,31.79105882352941
115.5,58.5,31.79105882352941
115.5,59.5,31.79105882352941
114.5,60.5,31.79105882352941
113.5,61.5,31.42729411764706
113.5,62.5,31.42729411764706
113.5,63.5,31.42729411764706
113.5,64.5,31.42729411764706
113.5,65.5,31.42729411764706
113.5,66.5,31.42729411764706
113.5,67.5,31.42729411764706
113.5,68.5,31.42729411764706
113.5,69.5,31.79105882352941
114.5,70.5,31.79105882352941
114.5,71.5,31.79105882352941
114.5,72.5,31.79105882352941
114.5,73.5,31.79105882352941
114.5,74.5,31.79105882352941
114.5,75.5,31.79105882352941
115.5,76.5,32.154823529411765
115.5,77.5,32.154823529411765
115.5,78.5,32.154823529411765
116.5,79.5,32.51858823529412
116.5,80.5,32.51858823529412
115.5,81.5,32.51858823529412
115.5,82.5,32.51858823529412
115.5,83.5,32.51858823529412
115.5,84.5,32.51858823529412
115.5,85.5,32.51858823529412
115.5,86.5,32.51858823529412
115.5,87.5,32.51858823529412
114.5,88.5,32.51858823529412
113.5,89.5,32.51858823529412
112.5,90.5,32.51858823529412
111.5,91.5,32.51858823529412
110.5,92.5,32.51858823529412
109.5,93.5,32.51858823529412
109.5,94.5,32.51858823529412
109.5,95.5,32.51858823529412
110.5,96.5,32.51858823529412
111.5,97.5,32.51858823529412
112.5,98.5,32.51858823529412
113.5,99.5,32.51858823529412
113.5,100.5,32.51858823529412
113.5,101.5,32.51858823529412
114.5,102.5,32.88235294117647
114.5,103.5,32.88235294117647
115.5,104.5,32.88235294117647
116.5,105.5,32.88235294117647
116.5,106.5,32.88235294117647
115.5,107.5,32.88235294117647
114.5,108.5,33.246117647058824
114.5,109.5,33.246117647058824
114.5,110.5,33.246117647058824
114.5,111.5,33.246117647058824
114.5,112.5,33.246117647058824
114.5,113.5,33.246117647058824
114.5,114.5,33.246117647058824
115.5,115.5,33.60988235294118
116.5,116.5,33.60988235294118
117.5,117.5,33.60988235294118
117.5,118.5,33.60988235294118
118.5,119.5,33.60988235294118
119.5,120.5,33.97364705882353
120.5,121.5,33.97364705882353
