x,y,z
94.5,20.5,31.42729411764706
95.5,21.5,31.42729411764706
96.5,22.5,31.06352941176471
97.5,23.5,31.06352941176471
98.5,24.5,31.06352941176471
99.5,25.5,30.699764705882355
100.5,26.5,30.699764705882355
101.5,27.5,30.699764705882355
102.5,28.5,30.699764705882355
103.5,29.5,30.336
104.5,30.5,30.336
105.5,31.5,30.336
106.5,32.5,30.336
107.5,33.5,29.97223529411765
108.5,34.5,30.336
109.5,35.5,30.336
110.5,36.5,30.336
111.5,36.5,30.336
112.5,36.5,30.336
113.5,36.5,30.336
114.5,36.5,30.336
115.5,37.5,30.699764705882355
116.5,38.5,30.699764705882355
117.5,38.5,30.699764705882355
118.5,38.5,30.699764705882355
119.5,38.5,30.699764705882355
120.5,39.5,31.06352941176471
121.5,39.5,31.06352941176471
122.5,38.5,31.06352941176471
123.5,39.5,31.42729411764706
124.5,40.5,31.42729411764706
125.5,41.5,31.42729411764706
126.5,42.5,31.42729411764706
127.5,43.5,31.42729411764706
128.5,42.5,31.06352941176471
129.5,42.5,31.06352941176471
130.5,43.5,31.06352941176471
131.5,44.5,31.06352941176471
132.5,44.5,31.06352941176471
133.5,45.5,31.06352941176471
134.5,45.5,31.06352941176471
135.5,44.5,31.06352941176471
136.5,44.5,31.06352941176471
137.5,45.5,31.06352941176471
138.5,45.5,31.06352941176471
139.5,46.5,31.06352941176471
140.5,47.5,31.42729411764706
141.5,48.5,31.06352941176471
142.5,49.5,31.06352941176471
143.5,50.5,31.42729411764706
144.5,51.5,31.42729411764706
145.5,52.5,31.42729411764706
146.5,53.5,31.42729411764706
147.5,54.5,31.79105882352941
148.5,55.5,32.154823529411765
149.5,56.5,32.51858823529412
150.5,57.5,32.51858823529412
151.5,58.5,32.51858823529412
152.5,59.5,32.51858823529412
153.5,60.5,32.51858823529412
154.5,61.5,32.51858823529412
155.5,62.5,32.154823529411765
156.5,63.5,32.154823529411765
157.5,64.5,31.79105882352941
158.5,65.5,31.79105882352941
159.5,66.5,31.79105882352941
160.5,67.5,31.79105882352941
161.5,68.5,31.79105882352941
162.5,69.5,31.79105882352941
163.5,70.5,31.79105882352941
164.5,71.5,31.79105882352941
165.5,72.5,31.79105882352941
166.5,73.5,31.79105882352941
167.5,74.5,32.154823529411765
168.5,75.5,32.154823529411765
169.5,76.5,32.51858823529412
170.5,77.5,32.51858823529412
171.5,78.5,32.51858823529412
172.5,79.5,32.51858823529412
173.5,80.5,32.51858823529412
174.5,81.5,32.154823529411765
175.5,82.5,32.154823529411765
176.5,83.5,32.154823529411765
177.5,84.5,32.154823529411765
178.5,85.5,32.154823529411765
179.5,86.5,32.154823529411765
180.5,87.5,32.154823529411765
181.5,88.5,32.154823529411765
182.5,89.5,32.154823529411765
183.5,90.5,32.154823529411765
184.5,91.5,32.154823529411765
185.5,92.5,32.154823529411765
186.5,93.5,32.154823529411765
187.5,94.5,32.154823529411765
188.5,95.5,32.154823529411765
189.5,96.5,32.154823529411765
190.5,97.5,32.154823529411765
191.5,98.5,32.154823529411765
192.5,99.5,32.154823529411765
193.5,100.5,32.154823529411765
194.5,101.5,32.154823529411765
195.5,102.5,32.154823529411765
196.5,103.5,32.154823529411765
197.5,104.5,32.154823529411765
198.5,105.5,32.154823529411765
199.5,105.5,31.79105882352941
