x,y,z
147.5,12.5,33.60988235294118
146.5,11.5,33.60988235294118
145.5,10.5,33.60988235294118
146.5,9.5,33.246117647058824
147.5,8.5,33.246117647058824
148.5,8.5,33.246117647058824
149.5,8.5,33.246117647058824
150.5,8.5,33.246117647058824
151.5,7.5,33.246117647058824
152.5,7.5,33.246117647058824
153.5,7.5,33.246117647058824
154.5,7.5,33.246117647058824
155.5,7.5,33.246117647058824
156.5,7.5,33.246117647058824
157.5,7.5,33.246117647058824
158.5,8.5,33.246117647058824
159.5,9.5,32.88235294117647
160.5,10.5,32.51858823529412
161.5,11.5,32.154823529411765
162.5,12.5,31.79105882352941
163.5,12.5,31.79105882352941
164.5,11.5,31.79105882352941
165.5,11.5,31.79105882352941
166.5,11.5,31.79105882352941
167.5,11.5,31.79105882352941
168.5,11.5,31.79105882352941
169.5,11.5,31.79105882352941
170.5,11.5,31.79105882352941
171.5,12.5,31.79105882352941
170.5,13.5,31.79105882352941
169.5,14.5,31.42729411764706
169.5,15.5,31.42729411764706
170.5,16.5,31.42729411764706
170.5,17.5,31.42729411764706
169.5,18.5,31.42729411764706
168.5,19.5,31.42729411764706
168.5,20.5,31.42729411764706
168.5,21.5,31.42729411764706
169.5,22.5,31.42729411764706
170.5,23.5,31.42729411764706
171.5,24.5,31.42729411764706
172.5,25.5,31.42729411764706
171.5,26.5,31.42729411764706
170.5,26.5,31.42729411764706
169.5,26.5,31.42729411764706
168.5,26.5,31.42729411764706
167.5,27.5,31.42729411764706
167.5,28.5,31.42729411764706
167.5,29.5,31.42729411764706
167.5,30.5,31.42729411764706
168.5,31.5,31.42729411764706
169.5,32.5,31.42729411764706
170.5,33.5,31.42729411764706
171.5,34.5,31.42729411764706
172.5,35.5,31.42729411764706
172.5,36.5,31.42729411764706
172.5,37.5,31.42729411764706
171.5,38.5,31.42729411764706
170.5,39.5,31.42729411764706
169.5,40.5,31.42729411764706
168.5,41.5,31.42729411764706
167.5,42.5,31.42729411764706
168.5,43.5,31.42729411764706
169.5,44.5,31.79105882352941
170.5,45.5,31.42729411764706
170.5,46.5,31.79105882352941
171.5,47.5,31.79105882352941
172.5,48.5,31.79105882352941
172.5,49.5,31.79105882352941
172.5,50.5,31.79105882352941
171.5,51.5,31.79105882352941
171.5,52.5,31.79105882352941
171.5,53.5,31.79105882352941
171.5,54.5,31.79105882352941
171.5,55.5,31.79105882352941
171.5,56.5,31.79105882352941
171.5,57.5,31.79105882352941
170.5,58.5,31.79105882352941
170.5,59.5,31.79105882352941
169.5,60.5,31.79105882352941
169.5,61.5,31.79105882352941
168.5,62.5,31.79105882352941
168.5,63.5,31.79105882352941
